team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Serbia,1,NA,NA,Radomir Antić,NA,Marko Pantelić · 84,37836,"Mbombela Stadium, Nelspruit",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,N,0
Uruguay,1,NA,NA,Óscar Tabárez,NA,Luis Suárez · 43,33425,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,N,1
South Africa,2,NA,NA,Carlos Alberto Parreira,NA,Bongani Khumalo · 20|Katlego Mphela · 37,39415,"Toyota Stadium, Bloemfontein",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,N,1
Korea Republic,2,NA,NA,Huh Jung-moo,NA,Lee Jung-soo · 38|Park Chu-young · 49,61874,"Moses Mabhida Stadium, Durban",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,N,0.5
Argentina,2,NA,NA,Diego Maradona,NA,Martín Demichelis · 77|Martín Palermo · 89,38891,"Peter Mokaba Stadium, Polokwane",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,N,1
Korea DPR,0,NA,NA,Kim Jong-hun,NA,NA,63644,"Cape Town Stadium, Cape Town",NA,2010-06-21,NA,NA,Group stage,South Africa,2010,N,0
Switzerland,0,NA,NA,Ottmar Hitzfeld,NA,NA,34872,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-21,NA,NA,Group stage,South Africa,2010,N,0
Honduras,0,NA,NA,Reinaldo Rueda,NA,NA,54386,"Emirates Airline Park, Johannesburg",NA,2010-06-21,NA,NA,Group stage,South Africa,2010,N,0
Paraguay,2,NA,NA,Gerardo Martino,NA,Enrique Vera · 27|Cristian Riveros · 86,26643,"Toyota Stadium, Bloemfontein",NA,2010-06-20,NA,NA,Group stage,South Africa,2010,N,1
New Zealand,1,NA,NA,Ricki Herbert,NA,Shane Smeltz · 7,38229,"Mbombela Stadium, Nelspruit",NA,2010-06-20,NA,NA,Group stage,South Africa,2010,N,0.5
Côte d'Ivoire,1,NA,NA,Sven-Göran Eriksson,NA,Didier Drogba · 79,84455,"Soccer City, Johannesburg",NA,2010-06-20,NA,NA,Group stage,South Africa,2010,N,0
Japan,0,NA,NA,Takeshi Okada,NA,NA,62010,"Moses Mabhida Stadium, Durban",NA,2010-06-19,NA,NA,Group stage,South Africa,2010,N,0
Australia,1,NA,NA,Pim Verbeek,NA,Brett Holman · 11|Harry Kewell · 24,34812,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-19,NA,NA,Group stage,South Africa,2010,N,0.5
Denmark,2,NA,NA,Morten Olsen,NA,Nicklas Bendtner · 33|Dennis Rommedahl · 61,38074,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-19,NA,NA,Group stage,South Africa,2010,N,1
Serbia,1,NA,NA,Radomir Antić,NA,Milan Jovanović · 38,38294,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-18,NA,NA,Group stage,South Africa,2010,N,1
United States,2,NA,NA,Bob Bradley,NA,Landon Donovan · 48|Michael Bradley · 82,45573,"Emirates Airline Park, Johannesburg",NA,2010-06-18,NA,NA,Group stage,South Africa,2010,N,0.5
Algeria,0,NA,NA,Rabah Saâdane,NA,NA,64100,"Cape Town Stadium, Cape Town",NA,2010-06-18,NA,NA,Group stage,South Africa,2010,N,0.5
Korea Republic,1,NA,NA,Huh Jung-moo,NA,Lee Chung-yong · 45+1,82174,"Soccer City, Johannesburg",NA,2010-06-17,NA,NA,Group stage,South Africa,2010,N,0
Nigeria,1,NA,NA,Lars Lagerbäck,NA,Kalu Uche · 16,31593,"Toyota Stadium, Bloemfontein",NA,2010-06-17,NA,NA,Group stage,South Africa,2010,N,0
Mexico,2,NA,NA,Javier Aguirre,NA,Javier Hernández · 64|Cuauhtémoc Blanco (P) · 79,35370,"Peter Mokaba Stadium, Polokwane",NA,2010-06-17,NA,NA,Group stage,South Africa,2010,N,1
Chile,1,NA,NA,Marcelo Bielsa,NA,Jean Beausejour · 34,32664,"Mbombela Stadium, Nelspruit",NA,2010-06-16,NA,NA,Group stage,South Africa,2010,N,1
Switzerland,1,NA,NA,Ottmar Hitzfeld,NA,Gelson Fernandes · 52,62453,"Moses Mabhida Stadium, Durban",NA,2010-06-16,NA,NA,Group stage,South Africa,2010,N,1
Uruguay,3,NA,NA,Óscar Tabárez,NA,Diego Forlán · 24|Diego Forlán (P) · 80|Álvaro Pereira · 90+5,42658,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-16,NA,NA,Group stage,South Africa,2010,N,1
Slovakia,1,NA,NA,Vladimír Weiss,NA,Róbert Vittek · 50,23871,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-15,NA,NA,Group stage,South Africa,2010,N,0.5
Portugal,0,NA,NA,Carlos Queiroz,NA,NA,37034,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-15,NA,NA,Group stage,South Africa,2010,N,0.5
Korea DPR,1,NA,NA,Kim Jong-hun,NA,Ji Yun-nam · 89,54331,"Emirates Airline Park, Johannesburg",NA,2010-06-15,NA,NA,Group stage,South Africa,2010,N,0
Denmark,0,NA,NA,Morten Olsen,NA,NA,83465,"Soccer City, Johannesburg",NA,2010-06-14,NA,NA,Group stage,South Africa,2010,N,0
Cameroon,0,NA,NA,Paul Le Guen,NA,NA,30620,"Toyota Stadium, Bloemfontein",NA,2010-06-14,NA,NA,Group stage,South Africa,2010,N,0
Paraguay,1,NA,NA,Gerardo Martino,NA,Antolín Alcaraz · 39,62869,"Cape Town Stadium, Cape Town",NA,2010-06-14,NA,NA,Group stage,South Africa,2010,N,0.5
Slovenia,1,NA,NA,Matjaž Kek,NA,Robert Koren · 79,30325,"Peter Mokaba Stadium, Polokwane",NA,2010-06-13,NA,NA,Group stage,South Africa,2010,N,1
Ghana,1,NA,NA,Milovan Rajevac,NA,Asamoah Gyan (P) · 85,38833,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-13,NA,NA,Group stage,South Africa,2010,N,1
Australia,0,NA,NA,Pim Verbeek,NA,Tim Cahill · 56,62660,"Moses Mabhida Stadium, Durban",NA,2010-06-13,NA,NA,Group stage,South Africa,2010,N,0
Greece,0,NA,NA,Otto Rehhagel,NA,NA,31513,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-12,NA,NA,Group stage,South Africa,2010,N,0
Nigeria,0,NA,NA,Lars Lagerbäck,NA,NA,55686,"Emirates Airline Park, Johannesburg",NA,2010-06-12,NA,NA,Group stage,South Africa,2010,N,0
United States,1,NA,NA,Bob Bradley,NA,Clint Dempsey · 40,38646,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-12,NA,NA,Group stage,South Africa,2010,N,0.5
Mexico,1,NA,NA,Javier Aguirre,NA,Rafael Márquez · 79,84490,"Soccer City, Johannesburg",NA,2010-06-11,NA,NA,Group stage,South Africa,2010,N,0.5
France,0,NA,NA,Raymond Domenech,NA,NA,64100,"Cape Town Stadium, Cape Town",NA,2010-06-11,NA,NA,Group stage,South Africa,2010,N,0.5
France,1,NA,3,Raymond Domenech,NA,Zinédine Zidane (P) · 7|Zinédine Zidane · 110,69000,"Olympiastadion Berlin, Berlin",NA,2006-07-09,NA,Italy won on penalty kicks following extra time,Final,Germany,2006,N,0.5
Portugal,1,NA,NA,Luiz Felipe Scolari,NA,Nuno Gomes · 88,52000,"Mercedes-Benz Arena, Stuttgart",NA,2006-07-08,NA,NA,Third-place match,Germany,2006,N,0
France,1,NA,NA,Raymond Domenech,NA,Zinédine Zidane (P) · 33,66000,"Allianz Arena, München",NA,2006-07-05,NA,NA,Semi-finals,Germany,2006,N,1
Italy,2,NA,NA,Marcello Lippi,NA,Fabio Grosso · 119|Alessandro Del Piero · 120+1,65000,"Signal Iduna Park, Dortmund",NA,2006-07-04,NA,Required Extra Time,Semi-finals,Germany,2006,N,1
Portugal,0,NA,3,Luiz Felipe Scolari,NA,NA,52000,"Veltins-Arena, Gelsenkirchen",NA,2006-07-01,NA,Portugal won on penalty kicks following extra time,Quarter-finals,Germany,2006,N,0.5
France,1,NA,NA,Raymond Domenech,NA,Thierry Henry · 57,48000,"Commerzbank-Arena, Frankfurt am Main",NA,2006-07-01,NA,NA,Quarter-finals,Germany,2006,N,1
Argentina,1,NA,2,José Pékerman,NA,Roberto Ayala · 49,72000,"Olympiastadion Berlin, Berlin",NA,2006-06-30,NA,Germany won on penalty kicks following extra time,Quarter-finals,Germany,2006,N,0.5
Ukraine,0,NA,NA,Oleh Blokhin,NA,NA,50000,"Volksparkstadion, Hamburg",NA,2006-06-30,NA,NA,Quarter-finals,Germany,2006,N,0
Ghana,0,NA,NA,Ratomir Dujković,NA,NA,65000,"Signal Iduna Park, Dortmund",NA,2006-06-27,NA,NA,Round of 16,Germany,2006,N,0
France,3,NA,NA,Raymond Domenech,NA,Franck Ribéry · 41|Patrick Vieira · 83|Zinédine Zidane · 90+2,43000,"HDI-Arena, Hannover",NA,2006-06-27,NA,NA,Round of 16,Germany,2006,N,1
Australia,0,NA,NA,Guus Hiddink,NA,NA,46000,"Fritz-Walter-Stadion, Kaiserslautern",NA,2006-06-26,NA,NA,Round of 16,Germany,2006,N,0
Ukraine,0,NA,3,Oleh Blokhin,NA,NA,45000,"RheinEnergieSTADION, Köln",NA,2006-06-26,NA,Ukraine won on penalty kicks following extra time,Round of 16,Germany,2006,N,0.5
Ecuador,0,NA,NA,Luis Fernando Suárez,NA,NA,52000,"Mercedes-Benz Arena, Stuttgart",NA,2006-06-25,NA,NA,Round of 16,Germany,2006,N,0
Netherlands,0,NA,NA,Marco van Basten,NA,Khalid Boulahrouz · 63|Giovanni van Bronckhorst · 90+5,41000,"Max-Morlock-Stadion, Nürnberg",NA,2006-06-25,NA,NA,Round of 16,Germany,2006,N,0
Sweden,0,NA,NA,Lars Lagerbäck,NA,Teddy Lučić · 35,66000,"Allianz Arena, München",NA,2006-06-24,NA,NA,Round of 16,Germany,2006,N,0
Mexico,1,NA,NA,Ricardo La Volpe,NA,Rafael Márquez · 6,43000,"Red Bull Arena, Leipzig",NA,2006-06-24,NA,Required Extra Time,Round of 16,Germany,2006,N,0
Spain,1,NA,NA,Luis Aragonés,NA,Juanito · 36,46000,"Fritz-Walter-Stadion, Kaiserslautern",NA,2006-06-23,NA,NA,Group stage,Germany,2006,N,1
Tunisia,0,NA,NA,Roger Lemerre,NA,Ziad Jaziri · 45+1,72000,"Olympiastadion Berlin, Berlin",NA,2006-06-23,NA,NA,Group stage,Germany,2006,N,0
France,2,NA,NA,Raymond Domenech,NA,Patrick Vieira · 55|Thierry Henry · 61,45000,"RheinEnergieSTADION, Köln",NA,2006-06-23,NA,NA,Group stage,Germany,2006,N,1
Korea Republic,0,NA,NA,Dick Advocaat,NA,NA,43000,"HDI-Arena, Hannover",NA,2006-06-23,NA,NA,Group stage,Germany,2006,N,0
United States,1,NA,NA,Bruce Arena,NA,Clint Dempsey · 43,41000,"Max-Morlock-Stadion, Nürnberg",NA,2006-06-22,NA,NA,Group stage,Germany,2006,N,0
Italy,2,NA,NA,Marcello Lippi,NA,Marco Materazzi · 26|Filippo Inzaghi · 87,50000,"Volksparkstadion, Hamburg",NA,2006-06-22,NA,NA,Group stage,Germany,2006,N,1
Brazil,4,NA,NA,Carlos Alberto Parreira,NA,Ronaldo · 45+1|Juninho Pernambucano · 53|Gilberto · 59|Ronaldo · 81,65000,"Signal Iduna Park, Dortmund",NA,2006-06-22,NA,NA,Group stage,Germany,2006,N,1
Australia,2,NA,NA,Guus Hiddink,NA,Craig Moore (P) · 38|Harry Kewell · 79|Brett Emerton · 87,52000,"Mercedes-Benz Arena, Stuttgart",NA,2006-06-22,NA,NA,Group stage,Germany,2006,N,0.5
Mexico,1,NA,NA,Ricardo La Volpe,NA,Francisco Fonseca · 29|Luis Ernesto Pérez · 61,52000,"Veltins-Arena, Gelsenkirchen",NA,2006-06-21,NA,NA,Group stage,Germany,2006,N,0
Angola,1,NA,NA,Oliveira Gonçalves,NA,Flávio Amado · 60,38000,"Red Bull Arena, Leipzig",NA,2006-06-21,NA,NA,Group stage,Germany,2006,N,0.5
Serbia and Montenegro,2,NA,NA,Ilija Petković,NA,Nikola Žigić · 10|Nikola Žigić · 20|Saša Ilić · 20|Albert Nađ · 45+1,66000,"Allianz Arena, München",NA,2006-06-21,NA,NA,Group stage,Germany,2006,N,0
Argentina,0,NA,NA,José Pékerman,NA,NA,48000,"Commerzbank-Arena, Frankfurt am Main",NA,2006-06-21,NA,NA,Group stage,Germany,2006,N,0.5
Poland,2,NA,NA,Paweł Janas,NA,Bartosz Bosacki · 33|Bartosz Bosacki · 66,43000,"HDI-Arena, Hannover",NA,2006-06-20,NA,NA,Group stage,Germany,2006,N,1
Germany,3,NA,NA,Jürgen Klinsmann,NA,Miroslav Klose · 4|Miroslav Klose · 44|Lukas Podolski · 57,72000,"Olympiastadion Berlin, Berlin",NA,2006-06-20,NA,NA,Group stage,Germany,2006,N,1
Trinidad and Tobago,0,NA,NA,Leo Beenhakker,NA,NA,46000,"Fritz-Walter-Stadion, Kaiserslautern",NA,2006-06-20,NA,NA,Group stage,Germany,2006,N,0
England,2,NA,NA,Sven-Göran Eriksson,NA,Joe Cole · 34|Steven Gerrard · 85,45000,"RheinEnergieSTADION, Köln",NA,2006-06-20,NA,NA,Group stage,Germany,2006,N,0.5
Switzerland,2,NA,NA,Köbi Kuhn,NA,Alexander Frei · 16|Tranquillo Barnetta · 88,65000,"Signal Iduna Park, Dortmund",NA,2006-06-19,NA,NA,Group stage,Germany,2006,N,1
Ukraine,4,NA,NA,Oleh Blokhin,NA,Andriy Rusol · 4|Serhiy Rebrov · 36|Andriy Shevchenko · 46|Maksym Kalynychenko · 84,50000,"Volksparkstadion, Hamburg",NA,2006-06-19,NA,NA,Group stage,Germany,2006,N,1
Tunisia,1,NA,NA,Roger Lemerre,NA,Jawhar Mnari · 8,52000,"Mercedes-Benz Arena, Stuttgart",NA,2006-06-19,NA,NA,Group stage,Germany,2006,N,0
Croatia,0,NA,NA,Zlatko Kranjčar,NA,NA,41000,"Max-Morlock-Stadion, Nürnberg",NA,2006-06-18,NA,NA,Group stage,Germany,2006,N,0.5
Australia,0,NA,NA,Guus Hiddink,NA,NA,66000,"Allianz Arena, München",NA,2006-06-18,NA,NA,Group stage,Germany,2006,N,0
Korea Republic,1,NA,NA,Dick Advocaat,NA,Park Ji-sung · 81,43000,"Red Bull Arena, Leipzig",NA,2006-06-18,NA,NA,Group stage,Germany,2006,N,0.5
IR Iran,0,NA,NA,Branko Ivanković,NA,NA,48000,"Commerzbank-Arena, Frankfurt am Main",NA,2006-06-17,NA,NA,Group stage,Germany,2006,N,0
Ghana,2,NA,NA,Ratomir Dujković,NA,Asamoah Gyan · 2|Sulley Muntari · 82,45000,"RheinEnergieSTADION, Köln",NA,2006-06-17,NA,NA,Group stage,Germany,2006,N,1
United States,1,NA,NA,Bruce Arena,NA,Cristian Zaccardo (OG) · 27|Pablo Mastroeni · 45|Eddie Pope · 47,46000,"Fritz-Walter-Stadion, Kaiserslautern",NA,2006-06-17,NA,NA,Group stage,Germany,2006,N,0.5
Serbia and Montenegro,0,NA,NA,Ilija Petković,NA,Mateja Kežman · 65,52000,"Veltins-Arena, Gelsenkirchen",NA,2006-06-16,NA,NA,Group stage,Germany,2006,N,0
Côte d'Ivoire,1,NA,NA,Henri Michel,NA,Bakari Koné · 38,52000,"Mercedes-Benz Arena, Stuttgart",NA,2006-06-16,NA,NA,Group stage,Germany,2006,N,0
Angola,0,NA,NA,Oliveira Gonçalves,NA,André Macanga · 79,43000,"HDI-Arena, Hannover",NA,2006-06-16,NA,NA,Group stage,Germany,2006,N,0.5
Costa Rica,0,NA,NA,Alexandre Guimarães,NA,NA,50000,"Veltins-Arena, Gelsenkirchen",NA,2006-06-15,NA,NA,Group stage,Germany,2006,N,0
Trinidad and Tobago,0,NA,NA,Leo Beenhakker,NA,NA,41000,"Max-Morlock-Stadion, Nürnberg",NA,2006-06-15,NA,NA,Group stage,Germany,2006,N,0
Paraguay,0,NA,NA,Aníbal Ruiz,NA,NA,72000,"Olympiastadion Berlin, Berlin",NA,2006-06-15,NA,NA,Group stage,Germany,2006,N,0
Ukraine,0,NA,NA,Oleh Blokhin,NA,Vladyslav Vashchuk · 47,43000,"Red Bull Arena, Leipzig",NA,2006-06-14,NA,NA,Group stage,Germany,2006,N,0
Saudi Arabia,2,NA,NA,Marcos Paquetá,NA,Yasser Al-Qahtani · 57|Sami Al-Jaber · 84,66000,"Allianz Arena, München",NA,2006-06-14,NA,NA,Group stage,Germany,2006,N,0.5
Poland,0,NA,NA,Paweł Janas,NA,Radosław Sobolewski · 75,65000,"Signal Iduna Park, Dortmund",NA,2006-06-14,NA,NA,Group stage,Germany,2006,N,0
Togo,1,NA,NA,Otto Pfister,NA,Mohamed Kader · 31|Jean-Paul Abalo · 53,48000,"Commerzbank-Arena, Frankfurt am Main",NA,2006-06-13,NA,NA,Group stage,Germany,2006,N,0
Switzerland,0,NA,NA,Köbi Kuhn,NA,NA,52000,"Mercedes-Benz Arena, Stuttgart",NA,2006-06-13,NA,NA,Group stage,Germany,2006,N,0.5
Croatia,0,NA,NA,Zlatko Kranjčar,NA,NA,72000,"Olympiastadion Berlin, Berlin",NA,2006-06-13,NA,NA,Group stage,Germany,2006,N,0
Japan,1,NA,NA,Zico,NA,Shunsuke Nakamura · 26,46000,"Fritz-Walter-Stadion, Kaiserslautern",NA,2006-06-12,NA,NA,Group stage,Germany,2006,N,0
Czech Republic,3,NA,NA,Karel Brückner,NA,Jan Koller · 5|Tomáš Rosický · 36|Tomáš Rosický · 76,52000,"Veltins-Arena, Gelsenkirchen",NA,2006-06-12,NA,NA,Group stage,Germany,2006,N,1
Ghana,0,NA,NA,Ratomir Dujković,NA,NA,43000,"HDI-Arena, Hannover",NA,2006-06-12,NA,NA,Group stage,Germany,2006,N,0
Netherlands,1,NA,NA,Marco van Basten,NA,Arjen Robben · 18,37216,"Red Bull Arena, Leipzig",NA,2006-06-11,NA,NA,Group stage,Germany,2006,N,1
IR Iran,1,NA,NA,Branko Ivanković,NA,Yahya Golmohammadi · 36,41000,"Max-Morlock-Stadion, Nürnberg",NA,2006-06-11,NA,NA,Group stage,Germany,2006,N,0
Portugal,1,NA,NA,Luiz Felipe Scolari,NA,Pauleta · 4,45000,"RheinEnergieSTADION, Köln",NA,2006-06-11,NA,NA,Group stage,Germany,2006,N,1
Paraguay,0,NA,NA,Aníbal Ruiz,NA,NA,48000,"Commerzbank-Arena, Frankfurt am Main",NA,2006-06-10,NA,NA,Group stage,Germany,2006,N,0
Sweden,0,NA,NA,Lars Lagerbäck,NA,NA,62959,"Signal Iduna Park, Dortmund",NA,2006-06-10,NA,NA,Group stage,Germany,2006,N,0.5
Côte d'Ivoire,1,NA,NA,Henri Michel,NA,Didier Drogba · 82,49480,"Volksparkstadion, Hamburg",NA,2006-06-10,NA,NA,Group stage,Germany,2006,N,0
Costa Rica,2,NA,NA,Alexandre Guimarães,NA,Paulo Wanchope · 12|Paulo Wanchope · 73,64950,"Allianz Arena, München",NA,2006-06-09,NA,NA,Group stage,Germany,2006,N,0
Ecuador,2,NA,NA,Luis Fernando Suárez,NA,Carlos Tenorio · 24|Agustín Delgado · 80,52000,"Veltins-Arena, Gelsenkirchen",NA,2006-06-09,NA,NA,Group stage,Germany,2006,N,1
Brazil,2,NA,NA,Luiz Felipe Scolari,NA,Ronaldo · 67|Ronaldo · 79,69029,"Nissan Stadium, Yokohama",NA,2002-06-30,NA,NA,Final,"Korea Republic, Japan",2002,N,1
Turkey,3,NA,NA,Şenol Güneş,NA,Hakan Şükür · 1|İlhan Mansız · 13|İlhan Mansız · 32,63483,"Daegu Main Stadium, Daegu",NA,2002-06-29,NA,NA,Third-place match,"Korea Republic, Japan",2002,N,1
Turkey,0,NA,NA,Şenol Güneş,NA,NA,61058,"Saitama Stadium 2002, Saitama",NA,2002-06-26,NA,NA,Semi-finals,"Korea Republic, Japan",2002,N,0
Korea Republic,0,NA,NA,Guus Hiddink,NA,NA,65625,"Seoul World Cup Stadium, Seoul",NA,2002-06-25,NA,NA,Semi-finals,"Korea Republic, Japan",2002,N,0
Korea Republic,0,NA,5,Guus Hiddink,NA,NA,42114,"Guus Hiddink Stadium, Gwangju",NA,2002-06-22,NA,Korea Republic won on penalty kicks following extra time,Quarter-finals,"Korea Republic, Japan",2002,N,0.5
Turkey,1,NA,NA,Şenol Güneş,NA,İlhan Mansız · 94,44233,"Yanmar Stadium Nagai, Osaka",NA,2002-06-22,NA,Required Extra Time,Quarter-finals,"Korea Republic, Japan",2002,N,1
Brazil,2,NA,NA,Luiz Felipe Scolari,NA,Rivaldo · 45+2|Ronaldinho · 50|Ronaldinho · 57,47436,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-21,NA,NA,Quarter-finals,"Korea Republic, Japan",2002,N,1
United States,0,NA,NA,Bruce Arena,NA,NA,37337,"Munsu Cup Stadium, Ulsan",NA,2002-06-21,NA,NA,Quarter-finals,"Korea Republic, Japan",2002,N,0
Turkey,1,NA,NA,Şenol Güneş,NA,Ümit Davala · 12,45666,"Miyagi Stadium, Rifu",NA,2002-06-18,NA,NA,Round of 16,"Korea Republic, Japan",2002,N,1
Italy,1,NA,NA,Giovanni Trapattoni,NA,Christian Vieri · 18|Francesco Totti · 103,38588,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-18,NA,Required Extra Time,Round of 16,"Korea Republic, Japan",2002,N,0
United States,2,NA,NA,Bruce Arena,NA,Brian McBride · 8|Landon Donovan · 65,36380,"Jeonju World Cup Stadium, Jeonju",NA,2002-06-17,NA,NA,Round of 16,"Korea Republic, Japan",2002,N,1
Belgium,0,NA,NA,Robert Waseige,NA,NA,40440,"NOEVIR Stadium Kobe, Kobe",NA,2002-06-17,NA,NA,Round of 16,"Korea Republic, Japan",2002,N,0
Senegal,2,NA,NA,Bruno Metsu,NA,Henri Camara · 37|Henri Camara · 104,39747,"Ōita Bank Dome, Ōita",NA,2002-06-16,NA,Required Extra Time,Round of 16,"Korea Republic, Japan",2002,N,1
Republic of Ireland,1,NA,2,Mick McCarthy,NA,Robbie Keane (P) · 90,38926,"Suwon World Cup Stadium, Suwon",NA,2002-06-16,NA,Spain won on penalty kicks following extra time,Round of 16,"Korea Republic, Japan",2002,N,0.5
Paraguay,0,NA,NA,Cesare Maldini,NA,Roberto Acuña · 90+2,25176,"Jeju World Cup Stadium, Jeju",NA,2002-06-15,NA,NA,Round of 16,"Korea Republic, Japan",2002,N,0
England,3,NA,NA,Sven-Göran Eriksson,NA,Rio Ferdinand · 5|Michael Owen · 22|Emile Heskey · 44,40582,"Denka Big Swan Stadium, Niigata",NA,2002-06-15,NA,NA,Round of 16,"Korea Republic, Japan",2002,N,1
Japan,2,NA,NA,Philippe Troussier,NA,Hiroaki Morishima · 48|Hidetoshi Nakata · 75,45213,"Yanmar Stadium Nagai, Osaka",NA,2002-06-14,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
Russia,2,NA,NA,Oleg Romantsev,NA,Vladimir Beschastnykh · 52|Dmitri Sychev · 88,46640,"Shizuoka Stadium Ecopa, Fukuroi",NA,2002-06-14,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0
Korea Republic,1,NA,NA,Guus Hiddink,NA,Park Ji-sung · 70,50239,"Incheon Munhak Stadium, Incheon",NA,2002-06-14,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
United States,1,NA,NA,Bruce Arena,NA,Landon Donovan · 83,26482,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-14,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0
Brazil,5,NA,NA,Luiz Felipe Scolari,NA,Ronaldo · 10|Ronaldo · 13|Edmílson · 38|Rivaldo · 62|Júnior · 64,38524,"Suwon World Cup Stadium, Suwon",NA,2002-06-13,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
China PR,0,NA,NA,Bora Milutinović,NA,Shao Jiayi · 58,43605,"Seoul World Cup Stadium, Seoul",NA,2002-06-13,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0
Italy,1,NA,NA,Giovanni Trapattoni,NA,Alessandro Del Piero · 85,39291,"Ōita Bank Dome, Ōita",NA,2002-06-13,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0.5
Croatia,0,NA,NA,Mirko Jozić,NA,NA,65862,"Nissan Stadium, Yokohama",NA,2002-06-13,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0
Argentina,1,NA,NA,Marcelo Bielsa,NA,Hernán Crespo · 88,45777,"Miyagi Stadium, Rifu",NA,2002-06-12,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0.5
England,0,NA,NA,Sven-Göran Eriksson,NA,NA,44864,"Yanmar Stadium Nagai, Osaka",NA,2002-06-12,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0.5
Spain,3,NA,NA,José Antonio Camacho,NA,Raúl · 4|Gaizka Mendieta · 45+1|Raúl · 56,31024,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-12,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
Paraguay,3,NA,NA,Cesare Maldini,NA,Carlos Paredes · 22|Nelson Cuevas · 65|Jorge Luis Campos · 73|Nelson Cuevas · 84,30176,"Jeju World Cup Stadium, Jeju",NA,2002-06-12,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
France,0,NA,NA,Roger Lemerre,NA,NA,48100,"Incheon Munhak Stadium, Incheon",NA,2002-06-11,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0
Uruguay,3,NA,NA,Víctor Púa,NA,Richard Morales · 46|Diego Forlán · 69|Álvaro Recoba (P) · 88,33681,"Suwon World Cup Stadium, Suwon",NA,2002-06-11,NA,NA,Group stage,"Korea Republic, Japan",2002,N,0.5
Republic of Ireland,3,NA,NA,Mick McCarthy,NA,Robbie Keane · 7|Gary Breen · 61|Damien Duff · 87,65320,"Nissan Stadium, Yokohama",NA,2002-06-11,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
Germany,2,NA,NA,Rudi Völler,NA,Carsten Ramelow · 40|Marco Bode · 50|Miroslav Klose · 79,47085,"Shizuoka Stadium Ecopa, Fukuroi",NA,2002-06-11,NA,NA,Group stage,"Korea Republic, Japan",2002,N,1
